,SAMPLE_ID,Q12,Q18,Q24,Q26_001,Q40_001_UNIT1,Q40_001_UNIT2,Q66
2470,30302601.0,1.0,10.0,-1.0,6.0,6.0,-1.0,6.0
2471,30302606.0,1.0,10.0,-1.0,10.0,5.0,8.0,1.0
2472,30302616.0,1.0,2.0,2.0,1.0,3.0,-1.0,2.0
2473,30302651.0,1.0,15.0,15.0,4.0,4.0,-1.0,4.0
2474,30302686.0,1.0,1.0,1.0,14.0,5.0,-1.0,6.0
2475,30302691.0,1.0,1.0,1.0,99.0,1.0,-1.0,3.0
2476,30302701.0,1.0,10.0,-1.0,10.0,2.0,-1.0,3.0
2477,30302721.0,1.0,3.0,3.0,3.0,3.0,-1.0,2.0
2478,30302726.0,3.0,5.0,5.0,5.0,5.0,3.0,4.0
2479,30302756.0,1.0,1.0,1.0,2.0,7.0,-1.0,5.0
2480,30302806.0,1.0,8.0,8.0,10.0,3.0,-1.0,2.0
2481,30302831.0,1.0,15.0,15.0,8.0,8.0,-1.0,4.0
2482,30302836.0,1.0,6.0,6.0,6.0,6.0,-1.0,1.0
2483,30302846.0,1.0,25.0,10.0,25.0,10.0,99.0,2.0
2484,30302886.0,1.0,0.0,0.0,11.0,10.0,-1.0,4.0
2485,30302911.0,1.0,2.0,1.0,6.0,99.0,-1.0,3.0
2486,30302921.0,1.0,3.0,3.0,7.0,8.0,-1.0,3.0
2487,30302931.0,1.0,2.0,2.0,15.0,9.0,-1.0,2.0
2488,30302936.0,1.0,2.0,2.0,12.0,12.0,7.0,4.0
2489,30302941.0,1.0,3.0,3.0,20.0,-1.0,-1.0,2.0
2490,30302951.0,1.0,3.0,3.0,2.0,99.0,-1.0,5.0
2491,30302961.0,1.0,10.0,10.0,7.0,99.0,-1.0,2.0
2492,30302966.0,1.0,4.0,4.0,20.0,15.0,-1.0,2.0
2493,30302976.0,1.0,99.0,10.0,99.0,4.0,99.0,2.0
2494,30302981.0,1.0,10.0,10.0,5.0,5.0,30.0,2.0
2495,30302986.0,1.0,2.0,2.0,2.0,7.0,-1.0,4.0
2496,30302996.0,1.0,16.0,16.0,1.0,1.0,-1.0,4.0
2497,30303011.0,1.0,2.0,3.0,6.0,5.0,-1.0,2.0
2498,30303031.0,1.0,6.0,6.0,5.0,8.0,-1.0,2.0
2499,30303066.0,1.0,20.0,20.0,16.0,18.0,-1.0,2.0
2500,30303096.0,1.0,99.0,5.0,10.0,-1.0,-1.0,2.0
2501,30303116.0,1.0,15.0,15.0,3.0,99.0,-1.0,3.0
2502,30303136.0,1.0,15.0,15.0,2.0,10.0,-1.0,4.0
2503,30303161.0,1.0,6.0,6.0,10.0,6.0,2.0,2.0
2504,30303181.0,1.0,3.0,3.0,4.0,16.0,-1.0,5.0
2505,30303186.0,1.0,21.0,21.0,5.0,2.0,-1.0,5.0
2506,30303191.0,1.0,10.0,10.0,14.0,1.0,-1.0,2.0
2507,30303241.0,1.0,3.0,3.0,13.0,99.0,99.0,3.0
2508,30303251.0,1.0,7.0,7.0,3.0,30.0,15.0,1.0
2509,30303286.0,1.0,31.0,3.0,5.0,8.0,-1.0,4.0
2510,30303311.0,1.0,8.0,8.0,15.0,10.0,-1.0,5.0
2511,30303316.0,1.0,20.0,20.0,5.0,-1.0,-1.0,5.0
2512,30303356.0,1.0,10.0,10.0,10.0,10.0,-1.0,6.0
2513,30303361.0,1.0,4.0,4.0,15.0,4.0,-1.0,2.0
2514,30303386.0,1.0,15.0,99.0,4.0,3.0,-1.0,5.0
2515,30303416.0,1.0,30.0,30.0,20.0,3.0,-1.0,2.0
2516,30303426.0,1.0,14.0,14.0,14.0,2.0,-1.0,5.0
2517,30303431.0,1.0,13.0,5.0,10.0,1.0,-1.0,2.0
2518,30303441.0,1.0,2.0,2.0,19.0,19.0,-1.0,2.0
2519,30303446.0,1.0,12.0,9.0,7.0,5.0,-1.0,2.0
2520,30303471.0,1.0,99.0,4.0,10.0,12.0,-1.0,1.0
2521,30303476.0,1.0,8.0,-1.0,8.0,8.0,-1.0,1.0
2522,30303481.0,1.0,1.0,-1.0,15.0,3.0,-1.0,3.0
2523,30303491.0,1.0,5.0,-1.0,99.0,1.0,-1.0,1.0
2524,30303526.0,1.0,10.0,16.0,99.0,10.0,-1.0,2.0
